Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401,Công nghệ hóa học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510406,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510201,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510406,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75103,"Công nghệ kỹ thuật điện, điện tử và viễn thông",7510302,Công nghệ kỹ thuật điện tử - Viễn thông
751,Công nghệ kỹ thuật,75103,"Công nghệ kỹ thuật điện, điện tử và viễn thông",7510301,"Công nghệ kĩ thuật điện, điện tử"
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510102D,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510102C,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510102,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCD3,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCDD2,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510102A,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCDD1,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCD1,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCDD121,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510102VP,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCDD321,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCDD221,Công nghệ kỹ thuật công trình xây dựng
758,Kiến trúc và xây dựng,75802,Xây dựng,215,Công nghệ kỹ thuật công trình xây dựng
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCK2,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCM1,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCMT2,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCMX2,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCDM2,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCM121,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCM2,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7140246-3,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510201,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510201A,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCM221,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCDM221,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510201C,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCMX221,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCMT221,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510201D,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510201DKK,Công nghệ kỹ thuật cơ khí
751,Công nghệ kỹ thuật,75103,"Công nghệ kỹ thuật điện, điện tử và viễn thông",7510302,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510203DKK,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75190,Công nghệ kỹ thuật - Khác,7519005,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCO2,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510203C,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510203D,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,HVN04,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510203,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCO221,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,CN6,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510203A,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCN221,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,GTADCCN2,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510203NT,Công nghệ kỹ thuật cơ điện tử
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCH221,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCD321,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCD121,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GHA-30,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCD221,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GHA-08,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCH2,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,GTADCCD2,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510104VP,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75101,Công nghệ kỹ thuật kiến trúc và công trình xây dựng,7510104,Công nghệ kỹ thuật giao thông
758,Kiến trúc và xây dựng,75802,Xây dựng,7580205,Công nghệ kỹ thuật giao thông
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401_CLC,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401_V,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",QHT07,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401_TT,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401C,Công nghệ kỹ thuật hoá học
752,Kỹ thuật,75203,"Kỹ thuật hóa học, vật liệu, luyện kim và môi trường",7520301,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",HVN16,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",QHT42,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510401D,Công nghệ kỹ thuật hoá học
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510407,Công nghệ kỹ thuật hạt nhân
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",QHT05,Công nghệ kỹ thuật hạt nhân
751,Công nghệ kỹ thuật,75108,Công nghệ kỹ thuật in,7510801D,Công nghệ kỹ thuật in
751,Công nghệ kỹ thuật,75108,Công nghệ kỹ thuật in,7510801C,Công nghệ kỹ thuật in
751,Công nghệ kỹ thuật,75190,Công nghệ kỹ thuật - Khác,7519003,Công nghệ kỹ thuật khuôn mẫu
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108_JAP,Công nghệ kỹ thuật máy tính
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108C,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108DKK,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108,Công nghệ kỹ thuật máy tính
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206A,Công nghệ kỹ thuật máy tính
751,Công nghệ kỹ thuật,75102,Công nghệ kỹ thuật cơ khí,7510206D,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108_DT,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108D,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108A,Công nghệ kỹ thuật máy tính
748,Máy tính và công nghệ thông tin,74801,Máy tính,7480108B,Công nghệ kỹ thuật máy tính
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",HVN16,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510406C,Công nghệ kỹ thuật môi trường
751,Công nghệ kỹ thuật,75104,"Công nghệ hóa học, vật liệu, luyện kim và môi trường",7510406,Công nghệ kỹ thuật môi trường
