url,university_code,university_name,province,region,admission_code,institution_type
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-buon-ma-thuot/,BMTU,Đại học Y Dược Buôn Ma Thuột,Đắk Lắk,Miền Trung - Tây Nguyên,BMU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-the-duc-the-thao-bac-ninh/,BNSU,Đại Học Thể Dục Thể Thao Bắc Ninh,Bắc Ninh,Miền Bắc,TDB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-anh-quoc-viet-nam/,BUV,Đại Học Anh Quốc Việt Nam,Hà Nội,Miền Bắc,BUV,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ba-ria-vung-tau/,BVU,Đại Học Bà Rịa – Vũng Tàu,Bà Rịa - Vũng Tàu,Miền Nam,BVU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-phong-hoa/,CCE,Trường Sĩ Quan Phòng Hóa,Hà Nội,Miền Bắc,HGM,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cmc/,CMC,Đại học CMC,Hà Nội,Miền Bắc,CMC,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-can-tho/,CTU,Đại Học Cần Thơ,Cần Thơ,Miền Nam,TCT,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-can-tho/,CTUMP,Đại Học Y Dược Cần Thơ,Cần Thơ,Miền Nam,YCT,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ky-thuat-cong-nghe-can-tho/,CTUT,Đại học Kỹ Thuật Công Nghệ Cần Thơ,Cần Thơ,Miền Nam,KCC,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-chu-van-an/,CVAUNI,Đại Học Chu Văn An,Hưng Yên,Miền Bắc,DCA,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-a/,DAU,Đại Học Đông Á,Đà Nẵng,Miền Trung - Tây Nguyên,DAD,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-da-nang/,DAU,Đại Học Kiến Trúc Đà Nẵng,Đà Nẵng,Miền Trung - Tây Nguyên,KTD,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-ngoai-giao/,DAV,Học Viện Ngoại Giao,Hà Nội,Miền Bắc,HQT,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ky-thuat-hau-can-cong-an-nhan-dan-phia-bac/,ĐHKTHCCAND,Đại Học Kỹ Thuật - Hậu Cần Công An Nhân Dân (Phía Bắc),Bắc Ninh,Miền Bắc,HCB,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ky-thuat-hau-can-cong-an-nhan-dan-phia-nam/,ĐHKTHCCAND(PN).,Đại Học Kỹ Thuật - Hậu Cần Công An Nhân Dân (Phía Nam),Hồ Chí Minh,Miền Nam,HCN,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-the-duc-the-thao-da-nang/,ĐHTDTTĐN,Đại Học Thể Dục Thể Thao Đà Nẵng,Đà Nẵng,Miền Trung - Tây Nguyên,TTD,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-cong-nghiep-long-an/,DLA,Đại Học Kinh Tế Công Nghiệp Long An,Long An,Miền Nam,DLA,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-da-lat/,DLU,Đại Học Đà Lạt,Đà Lạt,Miền Trung - Tây Nguyên,TDL,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-dong-nai/,DNTU,Đại Học Công Nghệ Đồng Nai,Đồng Nai,Miền Nam,DCD,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dai-nam/,DNU,Đại Học Đại Nam,Hà Nội,Miền Bắc,DDN,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-nai/,DNU,Đại Học Đồng Nai,Đồng Nai,Miền Nam,DNU,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ky-thuat-y-duoc-da-nang/,DNUMTP,Đại học Kỹ thuật Y Dược Đà Nẵng,Đà Nẵng,Miền Trung - Tây Nguyên,YDN,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dong-thap/,DTHU,Đại Học Đồng Tháp,Đồng Tháp,Miền Nam,SPD,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-duy-tan/,DTU,Đại Học Dân Lập Duy Tân,Đà Nẵng,Miền Trung - Tây Nguyên,DDT,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-dai-hoc-da-nang/,DUE,Đại Học Kinh Tế – Đại Học Đà Nẵng,Đà Nẵng,Miền Trung - Tây Nguyên,DDQ,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-bach-khoa-dai-hoc-da-nang/,DUT,Đại Học Bách Khoa – Đại Học Đà Nẵng,Đà Nẵng,Miền Trung - Tây Nguyên,DDK,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-dong-a/,EAUT,Đại Học Công Nghệ Đông Á,Hà Nội,Miền Bắc,DDA,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-mien-dong/,EIU,Đại Học Quốc Tế Miền Đông,Bình Dương,Miền Nam,EIU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dien-luc/,EPU,Đại Học Điện Lực,Hà Nội,Miền Bắc,DDL,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tai-chinh-ngan-hang-ha-noi/,FBU,Đại Học Tài Chính Ngân Hàng Hà Nội,Hà Nội,Miền Bắc,FBU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-fpt/,FPT,Đại Học FPT,Hà Nội,Miền Bắc,FPT,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-thuong-co-so-phia-bac/,FTU,Đại Học Ngoại Thương (Cơ sở phía Bắc),Hà Nội,Miền Bắc,NTH,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ngoai-thuong-phia-nam/,FTU2,Đại Học Ngoại Thương (phía Nam),Hồ Chí Minh,Miền Nam,NTS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-gia-dinh/,GDU,Đại Học Gia Định,Hồ Chí Minh,Miền Nam,GDU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-am-nhac-hue/,HAM,Học Viện Âm Nhạc Huế,Huế,Miền Trung - Tây Nguyên,HVA,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ha-noi/,HANU,Đại Học Hà Nội,Hà Nội,Miền Bắc,NHF,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kien-truc-ha-noi/,HAU,Đại Học Kiến Trúc Hà Nội,Hà Nội,Miền Bắc,KTA,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-ha-noi/,HAUI,Đại Học Công Nghiệp Hà Nội,Hà Nội,Miền Bắc,DCN,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-hoa-binh/,HBU,Đại Học Hòa Bình,Hà Nội,Miền Bắc,ETU,Dân lập
https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-can-bo-tphcm/,HCA,Học viện cán bộ TPHCM,Hồ Chí Minh,Miền Nam,HCV,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-kinh-te-dai-hoc-hue/,HCE-HU,Đại Học Kinh Tế – Đại Học Huế,Huế,Miền Trung - Tây Nguyên,DHK,Công lập
https://huongnghiep.hocmai.vn/diem-truong/nhac-vien-tphcm/,HCMCONS,Nhạc Viện TPHCM,Hồ Chí Minh,Miền Nam,NVS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-dai-hoc-quoc-gia-tphcm/,HCMIU,Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,Hồ Chí Minh,Miền Nam,QSQ,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-van-hoa-tphcm/,HCMUC,Đại Học Văn Hóa TPHCM,Hồ Chí Minh,Miền Nam,VHS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-su-pham-tphcm/,HCMUE,Đại Học Sư Phạm TPHCM,Hồ Chí Minh,Miền Nam,SPS,Công lập
https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-my-thuat-tphcm/,HCMUFA,Đại Học Mỹ Thuật TPHCM,Hồ Chí Minh,Miền Nam,MTS,Công lập
