university_code,university_name,major_code,major_name,subject_group,point,note,year
HCMUE,Đại Học Sư Phạm TPHCM,7140201,Giáo dục Mầm non,"M02, M03, XDHB",24.24,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140202,Giáo dục Tiểu học,"A00, A01, D01, XDHB",28.65,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140203,Giáo dục Đặc biệt,"D01, C00, C15, XDHB",27.45,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140204,Giáo dục Công dân,"D01, C00, C19, XDHB",28.25,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140205,Giáo dục Chính trị,"D01, C00, C19, XDHB",28,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140206,Giáo dục Thể chất,"T01, XDHB, M08",25.23,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140208,Giáo dục Quốc phòng - An ninh,"C00, C19, A08, XDHB",27.83,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140209,Sư phạm Toán học,"A00, A01, XDHB",29.5,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140210,Sư phạm Tin học,"A00, B08, A01, XDHB",27.92,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140211,Sư phạm Vật lý,"A00, A01, C01, XDHB",29.5,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140212,Sư phạm Hóa học,"A00, B00, D07, XDHB",29.73,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140213,Sư phạm Sinh học,"B00, D08, XDHB",29.28,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140217,Sư phạm Ngữ văn,"D01, C00, D78, XDHB",28.82,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140218,Sư phạm Lịch sử,"C00, D14, XDHB",28.5,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140219,Sư phạm Địa lý,"C00, D15, C04, D78, XDHB",28.38,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140231,Sư phạm Tiếng Anh,"D01, XDHB",28.6,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140232,Sư phạm Tiếng Nga,"D01, D78, D02, D80, XDHB",25.72,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140233,Sư phạm Tiếng Pháp,"D01, D03, XDHB",27.46,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140234,Sư phạm Tiếng Trung Quốc,"D01, D04, XDHB",28.13,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140246,Sư phạm công nghệ,"A00, A01, D90, A02, XDHB",27.83,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140247,Sư phạm khoa học tự nhiên,"A00, B00, D90, A02, XDHB",28.92,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7140249,Sư phạm Lịch sử Địa lý,"C00, C19, C20, D78, XDHB",27.63,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7220201,Ngôn ngữ Anh,"D01, XDHB",28.25,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7220202,Ngôn ngữ Nga,"D01, D78, D02, D80, XDHB",25.8,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7220203,Ngôn ngữ Pháp,"D01, D03, XDHB",26.71,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7220204,Ngôn ngữ Trung Quốc,"D01, D04, XDHB",27.57,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7220209,Ngôn ngữ Nhật,"D01, D06, XDHB",27.17,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7220210,Ngôn ngữ Hàn Quốc,"D01, D96, D78, D02, XDHB",28.19,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7229030,Văn học,"D01, C00, D78, XDHB",28.26,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7310401,Tâm lý học,"B00, D01, C00, XDHB",28.44,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7310403,Tâm lý học giáo dục,"A00, D01, C00, XDHB",27.78,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7310501,Địa lý học,"C00, D15, D10, D78, XDHB",27.58,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7310601,Quốc tế học,"D01, D14, D78, XDHB",27.31,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7310630,Việt Nam học,"D01, C00, D78, XDHB",27.51,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7440102,Vật lý học,"A00, A01, D90, XDHB",28.13,học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7440112,Hoá học,"A00, B00, D07, XDHB",28.14,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7480201,Công nghệ thông tin,"A00, B08, A01, XDHB",28.24,Học bạ,2018
HCMUE,Đại Học Sư Phạm TPHCM,7760101,Công tác xã hội,"A00, D01, C00, XDHB",27.02,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7140231D,Sư phạm Tiếng Anh,"D01, D96, XDHB",29,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7140246D,Sư phạm công nghệ,"A00, A01, D01, D90, XDHB",20.25,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7220201D,Ngôn ngữ Anh,"D01, D96, XDHB",26,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7340120D,Kinh doanh quốc tế,"A00, A01, D01, D90, XDHB",27,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7340122D,Thương mại điện tử,"A00, A01, D01, D90, XDHB",28,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7340301D,Kế toán,"A00, A01, D01, D90, XDHB",25.5,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7380101D,Luật,"A00, A01, D01, C00, XDHB",27,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480108D,Công nghệ kỹ thuật máy tính,"A00, A01, D01, D90, XDHB",27.25,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480118D,Hệ thống nhúng thông minh và IoT,"A00, A01, D01, D90, XDHB",27,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480201D,Công nghệ thông tin,"A00, A01, D01, D90, XDHB",28.75,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480202D,An toàn thông tin,"A00, A01, D01, D90, XDHB",27.25,Học bạ,2018
HCMUTE,Đại Học Sư Phạm Kỹ Thuật TPHCM,7480203D,Kỹ thuật dữ liệu,"A00, A01, D01, D90, XDHB",28,Học bạ,2018
