university_code,university_name,major_code,major_name,subject_group,point,note,year
HNUE,Đại Học Sư Phạm Hà Nội,7140233D,Sư phạm Tiếng Pháp,"D01, D03, D02, XDHB",62.9,"Văn, Toán, Ngoại ngữHọc bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7810103D,Quản trị dịch vụ du lịch và lữ hành,"D01, XDHB",58.65,"Văn, Toán, AnhHọc bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7310630B,Việt Nam học,"D01, XDHB",58.1,"Văn, Toán, Anh",2021
HNUE,Đại Học Sư Phạm Hà Nội,7310401D,Tâm lý học,"D01, D03, D02, XDHB",64.7,"Văn, Sử, ĐịaHọc bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7760103C,Hỗ trợ giáo dục người khuyết tật,C00,68.95,"Văn, Sử, ĐịaHọc bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7310401C,Tâm lý học,"C00, XDHB",65.75,"Văn, Sử, Địa",2021
HNUE,Đại Học Sư Phạm Hà Nội,7310201A,Chính trị học,C19,66.9,"Văn, GDCD, Ngoại ngữHọc bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7140114C,Quản lý giáo dục,"C20, XDHB",73.75,"Văn, GDCD, Địa lýHọc bạ",2021
HNUE,Đại Học Sư Phạm Hà Nội,7140213D,Sư phạm Sinh học,"D08, D32, D34",19.38,TTNV<=9,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140217D,Sư phạm Ngữ văn,"D01, D03, D02",26.9,TTNV<=8,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140209D,Sư phạm Toán học,D01,28.25,TTNV<=8,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140211A,Sư phạm Vật lý,A00,25.15,TTNV<=7,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140209A,Sư phạm Toán học,A00,26.3,TTNV<=7,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140205B,Giáo dục Chính trị,C19,26.25,TTNV<=6,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140204B,Giáo dục Công dân,C19,26.5,TTNV<=6,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140210,Sư phạm Tin học,A01,21,TTNV<=5,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140210A,Sư phạm Tin học,A00,21.35,TTNV<=5,2021
HNUE,Đại Học Sư Phạm Hà Nội,7140212A,Sư phạm Hóa học,A00,25.4,TTNV<=5,2021
